year,state,senate_win,pres_win
1976,ARIZONA,DEMOCRAT,REPUBLICAN
1976,CALIFORNIA,REPUBLICAN,REPUBLICAN
1976,CONNECTICUT,REPUBLICAN,REPUBLICAN
1976,DELAWARE,REPUBLICAN,DEMOCRAT
1976,FLORIDA,DEMOCRAT,DEMOCRAT
1976,HAWAII,DEMOCRAT,DEMOCRAT
1976,INDIANA,REPUBLICAN,REPUBLICAN
1976,MAINE,DEMOCRAT,REPUBLICAN
1976,MARYLAND,DEMOCRAT,DEMOCRAT
1976,MASSACHUSETTS,DEMOCRAT,DEMOCRAT
1976,MICHIGAN,DEMOCRAT,REPUBLICAN
1976,MINNESOTA,DEMOCRAT,DEMOCRAT
1976,MISSISSIPPI,DEMOCRAT,DEMOCRAT
1976,MISSOURI,REPUBLICAN,DEMOCRAT
1976,MONTANA,DEMOCRAT,REPUBLICAN
1976,NEBRASKA,DEMOCRAT,REPUBLICAN
1976,NEVADA,DEMOCRAT,REPUBLICAN
1976,NEW JERSEY,DEMOCRAT,REPUBLICAN
1976,NEW MEXICO,REPUBLICAN,REPUBLICAN
1976,NEW YORK,DEMOCRAT,DEMOCRAT
1976,NORTH DAKOTA,DEMOCRAT,REPUBLICAN
1976,OHIO,DEMOCRAT,DEMOCRAT
1976,PENNSYLVANIA,REPUBLICAN,DEMOCRAT
1976,RHODE ISLAND,REPUBLICAN,DEMOCRAT
1976,TENNESSEE,DEMOCRAT,DEMOCRAT
1976,TEXAS,DEMOCRAT,DEMOCRAT
1976,UTAH,REPUBLICAN,REPUBLICAN
1976,VERMONT,REPUBLICAN,REPUBLICAN
1976,VIRGINIA,OTHER,REPUBLICAN
1976,WASHINGTON,DEMOCRAT,REPUBLICAN
1976,WEST VIRGINIA,DEMOCRAT,DEMOCRAT
1976,WISCONSIN,DEMOCRAT,DEMOCRAT
1976,WYOMING,REPUBLICAN,REPUBLICAN
1980,ALABAMA,REPUBLICAN,REPUBLICAN
1980,ALASKA,REPUBLICAN,REPUBLICAN
1980,ARIZONA,REPUBLICAN,REPUBLICAN
1980,ARKANSAS,DEMOCRAT,REPUBLICAN
1980,CALIFORNIA,DEMOCRAT,REPUBLICAN
1980,COLORADO,DEMOCRAT,REPUBLICAN
1980,CONNECTICUT,DEMOCRAT,REPUBLICAN
1980,FLORIDA,REPUBLICAN,REPUBLICAN
1980,GEORGIA,REPUBLICAN,DEMOCRAT
1980,HAWAII,DEMOCRAT,DEMOCRAT
1980,IDAHO,REPUBLICAN,REPUBLICAN
1980,ILLINOIS,DEMOCRAT,REPUBLICAN
1980,INDIANA,REPUBLICAN,REPUBLICAN
1980,IOWA,REPUBLICAN,REPUBLICAN
1980,KANSAS,REPUBLICAN,REPUBLICAN
1980,KENTUCKY,DEMOCRAT,REPUBLICAN
1980,LOUISIANA,DEMOCRAT,REPUBLICAN
1980,MARYLAND,REPUBLICAN,DEMOCRAT
1980,MISSOURI,DEMOCRAT,REPUBLICAN
1980,NEVADA,REPUBLICAN,REPUBLICAN
1980,NEW HAMPSHIRE,REPUBLICAN,REPUBLICAN
1980,NEW YORK,DEMOCRAT,DEMOCRAT
1980,NORTH CAROLINA,REPUBLICAN,REPUBLICAN
1980,OHIO,DEMOCRAT,REPUBLICAN
1980,OKLAHOMA,REPUBLICAN,REPUBLICAN
1980,OREGON,REPUBLICAN,REPUBLICAN
1980,PENNSYLVANIA,REPUBLICAN,REPUBLICAN
1980,SOUTH CAROLINA,DEMOCRAT,REPUBLICAN
1980,SOUTH DAKOTA,REPUBLICAN,REPUBLICAN
1980,UTAH,REPUBLICAN,REPUBLICAN
1980,VERMONT,DEMOCRAT,REPUBLICAN
1980,WASHINGTON,REPUBLICAN,REPUBLICAN
1980,WISCONSIN,REPUBLICAN,REPUBLICAN
1984,ALABAMA,DEMOCRAT,REPUBLICAN
1984,ALASKA,REPUBLICAN,REPUBLICAN
1984,ARKANSAS,DEMOCRAT,REPUBLICAN
1984,COLORADO,REPUBLICAN,REPUBLICAN
1984,DELAWARE,DEMOCRAT,REPUBLICAN
1984,GEORGIA,DEMOCRAT,REPUBLICAN
1984,IDAHO,REPUBLICAN,REPUBLICAN
1984,ILLINOIS,DEMOCRAT,REPUBLICAN
1984,IOWA,DEMOCRAT,REPUBLICAN
1984,KANSAS,REPUBLICAN,REPUBLICAN
1984,KENTUCKY,REPUBLICAN,REPUBLICAN
1984,LOUISIANA,DEMOCRAT,REPUBLICAN
1984,MAINE,REPUBLICAN,REPUBLICAN
1984,MASSACHUSETTS,DEMOCRAT,REPUBLICAN
1984,MICHIGAN,DEMOCRAT,REPUBLICAN
1984,MINNESOTA,REPUBLICAN,DEMOCRAT
1984,MISSISSIPPI,REPUBLICAN,REPUBLICAN
1984,MONTANA,DEMOCRAT,REPUBLICAN
1984,NEBRASKA,DEMOCRAT,REPUBLICAN
1984,NEW HAMPSHIRE,REPUBLICAN,REPUBLICAN
1984,NEW JERSEY,DEMOCRAT,REPUBLICAN
1984,NEW MEXICO,REPUBLICAN,REPUBLICAN
1984,NORTH CAROLINA,REPUBLICAN,REPUBLICAN
1984,OKLAHOMA,DEMOCRAT,REPUBLICAN
1984,OREGON,REPUBLICAN,REPUBLICAN
1984,RHODE ISLAND,DEMOCRAT,REPUBLICAN
1984,SOUTH CAROLINA,REPUBLICAN,REPUBLICAN
1984,SOUTH DAKOTA,REPUBLICAN,REPUBLICAN
1984,TENNESSEE,DEMOCRAT,REPUBLICAN
1984,TEXAS,REPUBLICAN,REPUBLICAN
1984,VIRGINIA,REPUBLICAN,REPUBLICAN
1984,WEST VIRGINIA,DEMOCRAT,REPUBLICAN
1984,WYOMING,REPUBLICAN,REPUBLICAN
1988,ARIZONA,DEMOCRAT,REPUBLICAN
1988,CALIFORNIA,REPUBLICAN,REPUBLICAN
1988,CONNECTICUT,DEMOCRAT,REPUBLICAN
1988,DELAWARE,REPUBLICAN,REPUBLICAN
1988,FLORIDA,REPUBLICAN,REPUBLICAN
1988,HAWAII,DEMOCRAT,DEMOCRAT
1988,INDIANA,REPUBLICAN,REPUBLICAN
1988,MAINE,DEMOCRAT,REPUBLICAN
1988,MARYLAND,DEMOCRAT,REPUBLICAN
1988,MASSACHUSETTS,DEMOCRAT,DEMOCRAT
1988,MICHIGAN,DEMOCRAT,REPUBLICAN
1988,MINNESOTA,REPUBLICAN,DEMOCRAT
1988,MISSISSIPPI,REPUBLICAN,REPUBLICAN
1988,MISSOURI,REPUBLICAN,REPUBLICAN
1988,MONTANA,REPUBLICAN,REPUBLICAN
1988,NEBRASKA,DEMOCRAT,REPUBLICAN
1988,NEVADA,DEMOCRAT,REPUBLICAN
1988,NEW JERSEY,DEMOCRAT,REPUBLICAN
1988,NEW MEXICO,DEMOCRAT,REPUBLICAN
1988,NEW YORK,DEMOCRAT,DEMOCRAT
1988,NORTH DAKOTA,DEMOCRAT,REPUBLICAN
1988,OHIO,DEMOCRAT,REPUBLICAN
1988,PENNSYLVANIA,REPUBLICAN,REPUBLICAN
1988,RHODE ISLAND,REPUBLICAN,DEMOCRAT
1988,TENNESSEE,DEMOCRAT,REPUBLICAN
1988,TEXAS,DEMOCRAT,REPUBLICAN
1988,UTAH,REPUBLICAN,REPUBLICAN
1988,VERMONT,REPUBLICAN,REPUBLICAN
1988,VIRGINIA,DEMOCRAT,REPUBLICAN
1988,WASHINGTON,REPUBLICAN,DEMOCRAT
1988,WEST VIRGINIA,DEMOCRAT,DEMOCRAT
1988,WISCONSIN,DEMOCRAT,DEMOCRAT
1988,WYOMING,REPUBLICAN,REPUBLICAN
1992,ALABAMA,DEMOCRAT,REPUBLICAN
1992,ALASKA,REPUBLICAN,REPUBLICAN
1992,ARIZONA,REPUBLICAN,REPUBLICAN
1992,ARKANSAS,DEMOCRAT,DEMOCRAT
1992,CALIFORNIA,DEMOCRAT,DEMOCRAT
1992,COLORADO,DEMOCRAT,DEMOCRAT
1992,CONNECTICUT,DEMOCRAT,DEMOCRAT
1992,FLORIDA,DEMOCRAT,REPUBLICAN
1992,GEORGIA,DEMOCRAT,DEMOCRAT
1992,GEORGIA,REPUBLICAN,DEMOCRAT
1992,HAWAII,DEMOCRAT,DEMOCRAT
1992,IDAHO,REPUBLICAN,REPUBLICAN
1992,ILLINOIS,DEMOCRAT,DEMOCRAT
1992,INDIANA,REPUBLICAN,REPUBLICAN
1992,IOWA,REPUBLICAN,DEMOCRAT
1992,KANSAS,REPUBLICAN,REPUBLICAN
1992,KENTUCKY,DEMOCRAT,DEMOCRAT
1992,LOUISIANA,DEMOCRAT,DEMOCRAT
1992,MARYLAND,DEMOCRAT,DEMOCRAT
1992,MISSOURI,REPUBLICAN,DEMOCRAT
1992,NEVADA,DEMOCRAT,DEMOCRAT
1992,NEW HAMPSHIRE,REPUBLICAN,DEMOCRAT
1992,NEW YORK,DEMOCRAT,DEMOCRAT
1992,NORTH CAROLINA,REPUBLICAN,REPUBLICAN
1992,NORTH DAKOTA,DEMOCRAT,REPUBLICAN
1992,OHIO,DEMOCRAT,DEMOCRAT
1992,OKLAHOMA,REPUBLICAN,REPUBLICAN
1992,OREGON,REPUBLICAN,DEMOCRAT
1992,PENNSYLVANIA,REPUBLICAN,DEMOCRAT
1992,SOUTH CAROLINA,DEMOCRAT,REPUBLICAN
1992,SOUTH DAKOTA,DEMOCRAT,REPUBLICAN
1992,UTAH,REPUBLICAN,REPUBLICAN
1992,VERMONT,DEMOCRAT,DEMOCRAT
1992,WASHINGTON,DEMOCRAT,DEMOCRAT
1992,WISCONSIN,DEMOCRAT,DEMOCRAT
1996,ALABAMA,REPUBLICAN,REPUBLICAN
1996,ALASKA,REPUBLICAN,REPUBLICAN
1996,ARKANSAS,REPUBLICAN,DEMOCRAT
1996,COLORADO,REPUBLICAN,REPUBLICAN
1996,DELAWARE,DEMOCRAT,DEMOCRAT
1996,GEORGIA,DEMOCRAT,REPUBLICAN
1996,IDAHO,REPUBLICAN,REPUBLICAN
1996,ILLINOIS,DEMOCRAT,DEMOCRAT
1996,IOWA,DEMOCRAT,DEMOCRAT
1996,KANSAS,REPUBLICAN,REPUBLICAN
1996,KENTUCKY,REPUBLICAN,DEMOCRAT
1996,LOUISIANA,DEMOCRAT,DEMOCRAT
1996,MAINE,REPUBLICAN,DEMOCRAT
1996,MASSACHUSETTS,DEMOCRAT,DEMOCRAT
1996,MICHIGAN,DEMOCRAT,DEMOCRAT
1996,MINNESOTA,DEMOCRAT,DEMOCRAT
1996,MISSISSIPPI,REPUBLICAN,REPUBLICAN
1996,MONTANA,DEMOCRAT,REPUBLICAN
1996,NEBRASKA,REPUBLICAN,REPUBLICAN
1996,NEW HAMPSHIRE,REPUBLICAN,DEMOCRAT
1996,NEW JERSEY,DEMOCRAT,DEMOCRAT
1996,NEW MEXICO,REPUBLICAN,DEMOCRAT
1996,NORTH CAROLINA,REPUBLICAN,REPUBLICAN
1996,OKLAHOMA,REPUBLICAN,REPUBLICAN
1996,OREGON,REPUBLICAN,DEMOCRAT
1996,RHODE ISLAND,DEMOCRAT,DEMOCRAT
1996,SOUTH CAROLINA,REPUBLICAN,REPUBLICAN
1996,SOUTH DAKOTA,DEMOCRAT,REPUBLICAN
1996,TENNESSEE,REPUBLICAN,DEMOCRAT
1996,TEXAS,REPUBLICAN,REPUBLICAN
1996,VIRGINIA,REPUBLICAN,REPUBLICAN
1996,WEST VIRGINIA,DEMOCRAT,DEMOCRAT
1996,WYOMING,REPUBLICAN,REPUBLICAN
2000,ARIZONA,REPUBLICAN,REPUBLICAN
2000,CALIFORNIA,DEMOCRAT,DEMOCRAT
2000,CONNECTICUT,DEMOCRAT,DEMOCRAT
2000,DELAWARE,DEMOCRAT,DEMOCRAT
2000,FLORIDA,DEMOCRAT,REPUBLICAN
2000,GEORGIA,DEMOCRAT,REPUBLICAN
2000,HAWAII,DEMOCRAT,DEMOCRAT
2000,INDIANA,REPUBLICAN,REPUBLICAN
2000,MAINE,REPUBLICAN,DEMOCRAT
2000,MARYLAND,DEMOCRAT,DEMOCRAT
2000,MASSACHUSETTS,DEMOCRAT,DEMOCRAT
2000,MICHIGAN,DEMOCRAT,DEMOCRAT
2000,MINNESOTA,DEMOCRAT,DEMOCRAT
2000,MISSISSIPPI,REPUBLICAN,REPUBLICAN
2000,MISSOURI,DEMOCRAT,REPUBLICAN
2000,MONTANA,REPUBLICAN,REPUBLICAN
2000,NEBRASKA,DEMOCRAT,REPUBLICAN
2000,NEVADA,REPUBLICAN,REPUBLICAN
2000,NEW JERSEY,DEMOCRAT,DEMOCRAT
2000,NEW MEXICO,DEMOCRAT,DEMOCRAT
2000,NEW YORK,DEMOCRAT,DEMOCRAT
2000,NORTH DAKOTA,DEMOCRAT,REPUBLICAN
2000,OHIO,REPUBLICAN,REPUBLICAN
2000,PENNSYLVANIA,REPUBLICAN,DEMOCRAT
2000,RHODE ISLAND,REPUBLICAN,DEMOCRAT
2000,TENNESSEE,REPUBLICAN,REPUBLICAN
2000,TEXAS,REPUBLICAN,REPUBLICAN
2000,UTAH,REPUBLICAN,REPUBLICAN
2000,VERMONT,REPUBLICAN,DEMOCRAT
2000,VIRGINIA,REPUBLICAN,REPUBLICAN
2000,WASHINGTON,DEMOCRAT,DEMOCRAT
2000,WEST VIRGINIA,DEMOCRAT,REPUBLICAN
2000,WISCONSIN,DEMOCRAT,DEMOCRAT
2000,WYOMING,REPUBLICAN,REPUBLICAN
2004,ALABAMA,REPUBLICAN,REPUBLICAN
2004,ALASKA,REPUBLICAN,REPUBLICAN
2004,ARIZONA,REPUBLICAN,REPUBLICAN
2004,ARKANSAS,DEMOCRAT,REPUBLICAN
2004,CALIFORNIA,DEMOCRAT,DEMOCRAT
2004,COLORADO,DEMOCRAT,REPUBLICAN
2004,CONNECTICUT,DEMOCRAT,DEMOCRAT
2004,FLORIDA,REPUBLICAN,REPUBLICAN
2004,GEORGIA,REPUBLICAN,REPUBLICAN
2004,HAWAII,DEMOCRAT,DEMOCRAT
2004,IDAHO,REPUBLICAN,REPUBLICAN
2004,ILLINOIS,DEMOCRAT,DEMOCRAT
2004,INDIANA,DEMOCRAT,REPUBLICAN
2004,IOWA,REPUBLICAN,REPUBLICAN
2004,KANSAS,REPUBLICAN,REPUBLICAN
2004,KENTUCKY,REPUBLICAN,REPUBLICAN
2004,LOUISIANA,REPUBLICAN,REPUBLICAN
2004,MARYLAND,DEMOCRAT,DEMOCRAT
2004,MISSOURI,REPUBLICAN,REPUBLICAN
2004,NEVADA,DEMOCRAT,REPUBLICAN
2004,NEW HAMPSHIRE,REPUBLICAN,DEMOCRAT
2004,NEW YORK,DEMOCRAT,DEMOCRAT
2004,NORTH CAROLINA,REPUBLICAN,REPUBLICAN
2004,NORTH DAKOTA,DEMOCRAT,REPUBLICAN
2004,OHIO,REPUBLICAN,REPUBLICAN
2004,OKLAHOMA,REPUBLICAN,REPUBLICAN
2004,OREGON,DEMOCRAT,DEMOCRAT
2004,PENNSYLVANIA,REPUBLICAN,DEMOCRAT
2004,SOUTH CAROLINA,REPUBLICAN,REPUBLICAN
2004,SOUTH DAKOTA,REPUBLICAN,REPUBLICAN
2004,UTAH,REPUBLICAN,REPUBLICAN
2004,VERMONT,DEMOCRAT,DEMOCRAT
2004,WASHINGTON,DEMOCRAT,DEMOCRAT
2004,WISCONSIN,DEMOCRAT,DEMOCRAT
2008,ALABAMA,REPUBLICAN,REPUBLICAN
2008,ALASKA,DEMOCRAT,REPUBLICAN
2008,ARKANSAS,DEMOCRAT,REPUBLICAN
2008,COLORADO,DEMOCRAT,DEMOCRAT
2008,DELAWARE,DEMOCRAT,DEMOCRAT
2008,GEORGIA,REPUBLICAN,REPUBLICAN
2008,GEORGIA,REPUBLICAN,REPUBLICAN
2008,IDAHO,REPUBLICAN,REPUBLICAN
2008,ILLINOIS,DEMOCRAT,DEMOCRAT
2008,IOWA,DEMOCRAT,DEMOCRAT
2008,KANSAS,REPUBLICAN,REPUBLICAN
2008,KENTUCKY,REPUBLICAN,REPUBLICAN
2008,LOUISIANA,DEMOCRAT,REPUBLICAN
2008,MAINE,REPUBLICAN,DEMOCRAT
2008,MASSACHUSETTS,DEMOCRAT,DEMOCRAT
2008,MICHIGAN,DEMOCRAT,DEMOCRAT
2008,MINNESOTA,DEMOCRAT,DEMOCRAT
2008,MISSISSIPPI,REPUBLICAN,REPUBLICAN
2008,MONTANA,DEMOCRAT,REPUBLICAN
2008,NEBRASKA,REPUBLICAN,REPUBLICAN
2008,NEW HAMPSHIRE,DEMOCRAT,DEMOCRAT
2008,NEW JERSEY,DEMOCRAT,DEMOCRAT
2008,NEW MEXICO,DEMOCRAT,DEMOCRAT
2008,NORTH CAROLINA,DEMOCRAT,DEMOCRAT
2008,OKLAHOMA,REPUBLICAN,REPUBLICAN
2008,OREGON,DEMOCRAT,DEMOCRAT
2008,RHODE ISLAND,DEMOCRAT,DEMOCRAT
2008,SOUTH CAROLINA,REPUBLICAN,REPUBLICAN
2008,SOUTH DAKOTA,DEMOCRAT,REPUBLICAN
2008,TENNESSEE,REPUBLICAN,REPUBLICAN
2008,TEXAS,REPUBLICAN,REPUBLICAN
2008,VIRGINIA,DEMOCRAT,DEMOCRAT
2008,WEST VIRGINIA,DEMOCRAT,REPUBLICAN
2008,WYOMING,REPUBLICAN,REPUBLICAN
2012,ARIZONA,REPUBLICAN,REPUBLICAN
2012,CALIFORNIA,DEMOCRAT,DEMOCRAT
2012,CONNECTICUT,DEMOCRAT,DEMOCRAT
2012,DELAWARE,DEMOCRAT,DEMOCRAT
2012,FLORIDA,DEMOCRAT,DEMOCRAT
2012,HAWAII,DEMOCRAT,DEMOCRAT
2012,INDIANA,DEMOCRAT,REPUBLICAN
2012,MAINE,OTHER,DEMOCRAT
2012,MARYLAND,DEMOCRAT,DEMOCRAT
2012,MASSACHUSETTS,DEMOCRAT,DEMOCRAT
2012,MICHIGAN,DEMOCRAT,DEMOCRAT
2012,MINNESOTA,DEMOCRAT,DEMOCRAT
2012,MISSISSIPPI,REPUBLICAN,REPUBLICAN
2012,MISSOURI,DEMOCRAT,REPUBLICAN
2012,MONTANA,DEMOCRAT,REPUBLICAN
2012,NEBRASKA,REPUBLICAN,REPUBLICAN
2012,NEVADA,REPUBLICAN,DEMOCRAT
2012,NEW JERSEY,DEMOCRAT,DEMOCRAT
2012,NEW MEXICO,DEMOCRAT,DEMOCRAT
2012,NEW YORK,DEMOCRAT,DEMOCRAT
2012,NORTH DAKOTA,DEMOCRAT,REPUBLICAN
2012,OHIO,DEMOCRAT,DEMOCRAT
2012,PENNSYLVANIA,DEMOCRAT,DEMOCRAT
2012,RHODE ISLAND,DEMOCRAT,DEMOCRAT
2012,TENNESSEE,REPUBLICAN,REPUBLICAN
2012,TEXAS,REPUBLICAN,REPUBLICAN
2012,UTAH,REPUBLICAN,REPUBLICAN
2012,VERMONT,OTHER,DEMOCRAT
2012,VIRGINIA,DEMOCRAT,DEMOCRAT
2012,WASHINGTON,DEMOCRAT,DEMOCRAT
2012,WEST VIRGINIA,DEMOCRAT,REPUBLICAN
2012,WISCONSIN,DEMOCRAT,DEMOCRAT
2012,WYOMING,REPUBLICAN,REPUBLICAN
2016,ALABAMA,REPUBLICAN,REPUBLICAN
2016,ALASKA,REPUBLICAN,REPUBLICAN
2016,ARIZONA,REPUBLICAN,REPUBLICAN
2016,ARKANSAS,REPUBLICAN,REPUBLICAN
2016,CALIFORNIA,DEMOCRAT,DEMOCRAT
2016,COLORADO,DEMOCRAT,DEMOCRAT
2016,CONNECTICUT,DEMOCRAT,DEMOCRAT
2016,FLORIDA,REPUBLICAN,REPUBLICAN
2016,GEORGIA,REPUBLICAN,REPUBLICAN
2016,HAWAII,DEMOCRAT,DEMOCRAT
2016,IDAHO,REPUBLICAN,REPUBLICAN
2016,ILLINOIS,DEMOCRAT,DEMOCRAT
2016,INDIANA,REPUBLICAN,REPUBLICAN
2016,IOWA,REPUBLICAN,REPUBLICAN
2016,KANSAS,REPUBLICAN,REPUBLICAN
2016,KENTUCKY,REPUBLICAN,REPUBLICAN
2016,LOUISIANA,REPUBLICAN,REPUBLICAN
2016,MARYLAND,DEMOCRAT,DEMOCRAT
2016,MISSOURI,REPUBLICAN,REPUBLICAN
2016,NEVADA,DEMOCRAT,DEMOCRAT
2016,NEW HAMPSHIRE,DEMOCRAT,DEMOCRAT
2016,NEW YORK,DEMOCRAT,DEMOCRAT
2016,NORTH CAROLINA,REPUBLICAN,REPUBLICAN
2016,NORTH DAKOTA,REPUBLICAN,REPUBLICAN
2016,OHIO,REPUBLICAN,REPUBLICAN
2016,OKLAHOMA,REPUBLICAN,REPUBLICAN
2016,OREGON,DEMOCRAT,DEMOCRAT
2016,PENNSYLVANIA,REPUBLICAN,REPUBLICAN
2016,SOUTH CAROLINA,REPUBLICAN,REPUBLICAN
2016,SOUTH DAKOTA,REPUBLICAN,REPUBLICAN
2016,UTAH,REPUBLICAN,REPUBLICAN
2016,VERMONT,DEMOCRAT,DEMOCRAT
2016,WASHINGTON,DEMOCRAT,DEMOCRAT
2016,WISCONSIN,REPUBLICAN,REPUBLICAN
2020,ALABAMA,REPUBLICAN,REPUBLICAN
2020,ALASKA,REPUBLICAN,REPUBLICAN
2020,ARIZONA,DEMOCRAT,DEMOCRAT
2020,ARKANSAS,REPUBLICAN,REPUBLICAN
2020,COLORADO,DEMOCRAT,DEMOCRAT
2020,DELAWARE,DEMOCRAT,DEMOCRAT
2020,GEORGIA,REPUBLICAN,DEMOCRAT
2020,IDAHO,REPUBLICAN,REPUBLICAN
2020,ILLINOIS,DEMOCRAT,DEMOCRAT
2020,IOWA,REPUBLICAN,REPUBLICAN
2020,KANSAS,REPUBLICAN,REPUBLICAN
2020,KENTUCKY,REPUBLICAN,REPUBLICAN
2020,LOUISIANA,REPUBLICAN,REPUBLICAN
2020,MAINE,REPUBLICAN,DEMOCRAT
2020,MASSACHUSETTS,DEMOCRAT,DEMOCRAT
2020,MICHIGAN,DEMOCRAT,DEMOCRAT
2020,MINNESOTA,DEMOCRAT,DEMOCRAT
2020,MISSISSIPPI,REPUBLICAN,REPUBLICAN
2020,MONTANA,REPUBLICAN,REPUBLICAN
2020,NEBRASKA,REPUBLICAN,REPUBLICAN
2020,NEW HAMPSHIRE,DEMOCRAT,DEMOCRAT
2020,NEW JERSEY,DEMOCRAT,DEMOCRAT
2020,NEW MEXICO,DEMOCRAT,DEMOCRAT
2020,NORTH CAROLINA,REPUBLICAN,REPUBLICAN
2020,OKLAHOMA,REPUBLICAN,REPUBLICAN
2020,OREGON,DEMOCRAT,DEMOCRAT
2020,RHODE ISLAND,DEMOCRAT,DEMOCRAT
2020,SOUTH CAROLINA,REPUBLICAN,REPUBLICAN
2020,SOUTH DAKOTA,REPUBLICAN,REPUBLICAN
2020,TENNESSEE,REPUBLICAN,REPUBLICAN
2020,TEXAS,REPUBLICAN,REPUBLICAN
2020,VIRGINIA,DEMOCRAT,DEMOCRAT
2020,WEST VIRGINIA,REPUBLICAN,REPUBLICAN
2020,WYOMING,OTHER,REPUBLICAN
